addr,time,Fx,Fy,Fz,Mx,My,Mz
170,4.406,0.00094,-0.00695,-0.0018,-0.0001,0.00014,-0.00016
170,4.407,0.00365,-0.00098,-0.00024,-0.00008,-0.00003,-0.00006
170,4.408,0.00653,0.00354,0,0.00002,-0.0001,-0.00004
170,4.409,0.00776,0.00005,-0.00694,0.00006,-0.00004,-0.00003
170,4.41,0.00161,0.00069,0.00375,0.00001,0.00019,-0.00003
170,4.411,0.0063,0.00982,-0.00079,0.00018,-0.00024,0
170,4.412,-0.00974,0.00998,0.00112,0.00029,0.00013,-0.00003
170,4.413,0.00483,0.0011,0.00021,0.00007,-0.0001,0.00005
170,4.414,-0.00055,0.00438,-0.00036,0.0001,0.00001,-0.00003
170,4.415,-0.00549,0.00844,-0.00064,0.00014,0,0.00009
170,4.416,-0.00235,0.00046,0.00071,0,-0.00003,0.00011
170,4.417,-0.00442,-0.00078,-0.00259,-0.00011,0.00001,0.00001
170,4.418,0.01024,0.00288,0.00239,-0.00005,-0.00025,0.00004
170,4.419,0.00112,-0.00506,0.00065,0.00003,-0.00004,-0.00006
170,4.42,-0.00457,-0.00702,0.0078,-0.00028,0,0.00001
170,4.421,-0.00984,-0.00074,-0.00532,0.00013,0.00008,-0.00007
170,4.422,-0.00084,0.01195,-0.00089,0.00024,0.00009,-0.00018
170,4.423,-0.00841,-0.00245,0.00297,-0.0001,0.00016,0.00001
170,4.424,-0.00441,-0.00383,-0.00707,0.00003,-0.00016,0.00011
170,4.425,0.00009,-0.00641,0.0061,-0.00015,0.0001,0.00005
170,4.426,-0.00026,-0.00147,-0.00908,-0.00004,-0.00005,0.00006
170,4.427,0.00033,0.00846,-0.00094,0.0001,-0.00004,0.00003
170,4.428,-0.0015,0.00788,0.00106,0.00022,-0.00008,-0.00013
170,4.429,0.00578,0.01031,-0.00366,0.00026,0.00001,0.00001
170,4.43,0.00825,0.00359,0.00539,0.00018,-0.00021,0.00001
170,4.431,0.0006,-0.00655,0.00198,-0.00007,0.00012,-0.00004
170,4.432,0.00503,0.0027,0.00435,0.00014,-0.00012,0.00001
170,4.433,0.00126,0.00666,0.00027,0.00023,-0.0001,-0.00009
170,4.434,-0.00578,0.00911,-0.00551,0.00005,0.00031,-0.00006
170,4.435,-0.00196,0.00543,0.0098,0.00018,-0.00006,0.00007
170,4.436,-0.00856,-0.00173,0.0025,-0.00008,0.00024,-0.00005
170,4.437,-0.00607,0.00072,0.00891,0.00009,-0.00004,0.00014
170,4.438,0.00304,-0.00508,0.00026,0.00005,-0.00022,-0.00005
170,4.439,-0.00199,0.00145,0.0014,-0.00018,0.00027,-0.00001
170,4.44,-0.0106,0.00258,-0.00004,0.00025,0.00005,0.00019
170,4.441,-0.00554,0.00821,-0.00286,0.00014,0.00015,-0.00005
170,4.442,-0.00919,-0.0029,-0.00309,0.00011,0.00006,0.00013
170,4.443,0.00209,0.0056,-0.00027,0.00019,-0.00017,-0.00005
170,4.444,-0.00307,0.00349,-0.00046,-0.00003,0.00002,-0.00005
170,4.445,0.00441,0.00076,-0.00208,0.00018,-0.00028,0.00004
170,4.446,0.00673,-0.00133,-0.00046,-0.00011,-0.00004,-0.00005
170,4.447,-0.00239,-0.00227,0.00457,0.00013,0,0.00004
170,4.448,-0.00008,0.00919,0.00283,0.00018,0.00006,-0.00009
170,4.449,0.00515,0.01101,-0.00364,-0.00006,-0.00008,-0.00005
170,4.45,0.00676,0.00311,0.0025,0.00005,-0.00006,-0.00011
170,4.451,0.00081,0.00411,0.00059,-0.00009,0.00018,-0.00004
170,4.452,-0.01329,0.0092,0.00537,0.00018,0.00014,0
170,4.453,-0.0041,-0.01079,-0.00061,-0.00019,0.0001,-0.00005
170,4.454,0.0039,0.00935,-0.00769,0.00011,-0.00006,0.00006
170,4.455,-0.00102,0.00147,0.00538,0.00019,-0.00003,0.00012
170,4.456,-0.00618,0.02014,-0.00078,0.00025,-0.00001,0.00003
170,4.457,-0.01488,0.00769,0.00275,0.00025,0.00017,-0.00004
170,4.458,-0.00368,0.01589,0.0046,0.00032,0.00009,0.00002
170,4.459,0.00144,0.00605,-0.00648,0.0002,-0.00007,-0.00002
170,4.46,0.00119,0.00349,0.00563,0.00008,-0.00005,0.00011
170,4.461,-0.00067,0.00415,-0.00548,0,-0.00017,0.00004
170,4.462,0.01054,-0.00391,-0.0026,0.00002,-0.00003,-0.00004
170,4.463,-0.00691,0.00662,-0.00383,0.00027,0.00019,0.00004
170,4.464,-0.00915,0.00284,-0.00334,-0.00001,0.00008,-0.00004
170,4.465,-0.00876,0.01451,-0.001,0.00035,0.00018,0.00001
170,4.466,-0.00199,0.00597,0.00581,0.00014,0.00006,0.00006
170,4.467,-0.00557,0.00295,-0.00645,0.00018,0.00018,0
170,4.468,0.0028,0.00343,-0.00604,0.00009,0.00002,0
170,4.469,0.00826,0.00797,0.00471,0.00008,-0.00004,0.00008
170,4.47,0.00827,0.00563,-0.00471,0.00009,-0.00018,0.00011
170,4.471,0.00968,-0.01008,0.00059,-0.00035,-0.00013,0.00009
170,4.472,-0.00716,-0.00264,-0.00623,-0.00005,-0.00002,-0.0001
170,4.473,0.00156,0.00691,0.00036,0.00003,0.00002,-0.00001
170,4.474,0.00801,0.00662,0.00146,0.00016,0.00005,0.00012
170,4.475,-0.00091,0.00478,-0.0007,-0.00006,0.00004,-0.00004
170,4.476,0.00219,-0.00281,0.00722,0.00001,-0.00005,-0.00001
170,4.477,-0.00143,0.00705,-0.0013,0.00008,-0.00015,0.0001
170,4.478,0.01033,0.00708,-0.01048,0.00016,-0.00025,-0.00012
170,4.479,-0.00056,0.00771,0.00001,0.00026,0.00022,0.00003
170,4.48,-0.00891,0.00826,0.00136,0.00012,-0.00004,-0.00013
170,4.481,-0.00794,0.00578,0.0046,0.0002,0.0002,0.00013
170,4.482,-0.00446,0.00054,0.00148,-0.00009,-0.0001,0
170,4.483,0.00678,-0.00049,0.0005,-0.00016,-0.00002,-0.00009
170,4.484,0.00381,0.01131,-0.00096,0.00029,-0.00008,-0.00003
170,4.485,-0.00306,0.01183,0.01026,0.00004,0.00004,-0.00002
170,4.486,0.00232,-0.00031,-0.00246,0.00002,-0.00006,0.00002
170,4.487,0.01129,-0.00288,0.00586,-0.00016,-0.00014,-0.0002
170,4.488,-0.00477,0.00263,0.00632,0.00009,0.00019,0
170,4.489,0.00838,0.00671,-0.00748,0.00003,-0.0002,0.00004
170,4.49,0.00629,0.00465,-0.00086,0.00005,0.00004,0.00002
170,4.491,0.0006,-0.00227,0.00113,0.00003,0.00005,-0.00012
170,4.492,0.00801,0.008,-0.00414,0.00016,-0.00008,0
170,4.493,0.00125,-0.01098,-0.00352,-0.00019,-0.00001,-0.00014
170,4.494,0.00436,-0.01134,-0.0006,-0.00039,-0.00012,-0.00003
170,4.495,-0.00234,-0.00142,0.00423,0.00003,-0.00001,0.00005
170,4.496,-0.00382,0.01279,0.00195,0.00019,-0.00001,0.00006
170,4.497,0.00092,0.00707,0.00098,0.00012,-0.00003,-0.00013
170,4.498,0.00577,-0.00156,-0.00078,-0.00003,-0.00013,0.00001
170,4.499,-0.00143,0.00547,-0.0028,0.00016,0.00007,0
170,4.5,0.00053,0.00822,-0.00324,0.00012,-0.00014,0
170,4.501,-0.00563,0.00371,0.00502,0.00006,0.00005,-0.00009
170,4.502,0.00113,0.00205,-0.00146,-0.00006,-0.00001,0.00013
170,4.503,-0.00347,0.00231,0.00035,0.00001,0.00016,0.00001
170,4.504,0.01044,0.01267,0.00458,0.00021,-0.00023,0.0001
170,4.505,0.00724,0.00087,0.00128,-0.00002,-0.00001,0.0001
170,4.506,0.00964,-0.0093,-0.00469,-0.0002,-0.00005,-0.00009
170,4.507,0.00308,-0.0001,-0.00165,0.00002,0.00005,0.00009
170,4.508,0.00449,0.002,0.00465,0.00011,0.00004,-0.00009
170,4.509,-0.00411,0.00915,-0.00851,0.0001,0,0.00005
170,4.51,-0.00621,0.0074,0.00255,0.00012,0.00017,-0.00005
170,4.511,0.00186,0.00056,-0.00298,0.00013,-0.00015,0.00006
170,4.512,-0.00012,-0.00216,0.00546,-0.00016,-0.00007,-0.00013
170,4.513,-0.00509,0.0123,-0.00011,0.00024,0.00006,0.00003
170,4.514,-0.00327,0.00465,-0.00466,0,-0.00004,-0.00001
170,4.515,0.00485,0.00086,-0.00454,-0.00006,-0.00005,-0.00005
170,4.516,-0.00498,0.01496,0.00051,0.00025,0.00015,-0.00011
170,4.517,-0.00667,0.00014,0.00245,0.00005,0.00008,0.00008
170,4.518,0.00269,0.00812,-0.00298,0.0001,-0.00011,0.00016
170,4.519,-0.00597,0.00166,-0.00063,0.00004,0.00021,0.00011
170,4.52,-0.00239,0.00062,0.00598,-0.00001,-0.00007,0.00008
170,4.521,-0.00031,0.01181,0.0033,0.00017,-0.0002,-0.00008
170,4.522,-0.00572,-0.00235,0.00205,0.00002,-0.00004,-0.00005
170,4.523,0.00997,-0.00975,-0.00383,-0.00018,-0.00018,-0.00008
170,4.524,-0.01415,-0.00107,-0.00106,-0.00008,0.00034,0.00006
170,4.525,-0.01562,-0.00081,0.00444,0.00012,0.00031,0.00007
170,4.526,-0.00709,-0.0069,-0.00161,-0.00008,0.00027,-0.00005
170,4.527,0.0063,0.00387,-0.00494,-0.00005,-0.00004,0
170,4.528,0.00079,0.00167,0.00146,-0.00004,0.00001,-0.00009
170,4.529,0.00706,-0.0007,-0.00738,-0.00008,-0.00001,-0.00006
170,4.53,0.00445,0.00514,-0.00241,0.00003,-0.00004,-0.0001
170,4.531,0.00143,-0.001,-0.0008,-0.00007,0.00002,-0.00012
170,4.532,-0.00323,-0.00416,0.00279,-0.00011,-0.00002,-0.00008
