Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30,Channel_31,Channel_32,Channel_33,Channel_34,Channel_35,Channel_36,Channel_37,Channel_38,Channel_39,Channel_40,Channel_41,Channel_42,Channel_43,Channel_44,Channel_45,Channel_46,Channel_47,Channel_48,Channel_49,Channel_50,Channel_51,Channel_52,Channel_53,Channel_54,Channel_55,Channel_56,Channel_57,Channel_58,Channel_59,Channel_60,Channel_61,Channel_62,Channel_63
101.197708,101.397659,101.084633,101.472717,101.475784,101.464813,101.384689,101.118019,101.530556,101.528481,101.194366,101.342453,101.214920,101.179886,101.087837,101.492516,101.575340,101.605965,101.128769,101.448212,101.459435,101.427238,101.605354,101.151596,101.463005,101.489120,101.539207,101.506332,101.248627,101.434280,101.477791,101.572342,101.473640,101.519585,101.477959,101.478127,101.540932,101.474777,101.497208,101.491791,101.573715,101.463730,101.446518,101.562622,101.511520,101.494255,101.452652,101.570457,101.439529,101.492073,101.561531,101.490112,101.468605,101.494164,101.532738,101.541794,101.547379,101.611053,101.619835,101.637329,101.617302,101.582504,101.567101,101.488678
101.196701,101.396988,101.085304,101.472717,101.475449,101.465645,101.383682,101.118019,101.530098,101.527000,101.193367,101.342789,101.214920,101.179420,101.087494,101.492844,101.575340,101.604500,101.129105,101.448212,101.458771,101.425766,101.605698,101.151253,101.464127,101.488144,101.538528,101.505501,101.248306,101.434608,101.477455,101.571182,101.473305,101.519585,101.477615,101.478462,101.540459,101.475113,101.497208,101.491119,101.573715,101.462723,101.446854,101.561813,101.512184,101.494926,101.452988,101.570808,101.439529,101.491409,101.560860,101.489342,101.468254,101.493835,101.532402,101.541794,101.546707,101.610718,101.619499,101.637665,101.616966,101.582504,101.567436,101.488678
101.195534,101.396652,101.084633,101.472382,101.475449,101.464966,101.383347,101.118362,101.529770,101.526001,101.193367,101.343124,101.214241,101.180222,101.087166,101.493172,101.575340,101.604500,101.129440,101.448875,101.458771,101.426559,101.606842,101.151932,101.463806,101.487480,101.538528,101.506332,101.248627,101.433937,101.477791,101.571510,101.473640,101.519585,101.477615,101.478462,101.541267,101.474777,101.496201,101.491463,101.574249,101.462883,101.446854,101.561813,101.512184,101.494926,101.452652,101.570808,101.438858,101.491409,101.559677,101.489761,101.468254,101.493156,101.532402,101.542572,101.546707,101.611519,101.619499,101.638199,101.616966,101.581642,101.567101,101.488358
101.196365,101.396317,101.084633,101.471718,101.475449,101.463478,101.383011,101.117867,101.529099,101.525665,101.192711,101.342789,101.214241,101.180893,101.088058,101.493172,101.574173,101.605637,101.130104,101.449211,101.458115,101.426559,101.606842,101.151932,101.464127,101.487480,101.539207,101.506332,101.249275,101.434280,101.477455,101.572342,101.474144,101.519249,101.477615,101.478798,101.540932,101.474442,101.496696,101.491463,101.574249,101.463562,101.446182,101.562149,101.511856,101.493919,101.452988,101.570808,101.438522,101.491074,101.559349,101.489426,101.468925,101.494331,101.533066,101.542572,101.546371,101.610718,101.620171,101.637329,101.616623,101.581306,101.568100,101.488358
101.195534,101.396317,101.085457,101.472054,101.475449,101.462997,101.383011,101.118019,101.529434,101.524994,101.190842,101.342453,101.213913,101.181229,101.088058,101.493500,101.574501,101.605171,101.128616,101.449539,101.457764,101.427238,101.606842,101.151596,101.464790,101.487480,101.539543,101.506332,101.249275,101.434280,101.477791,101.572678,101.473305,101.520088,101.477272,101.478127,101.540932,101.475319,101.495201,101.491791,101.573380,101.463562,101.445511,101.562149,101.511856,101.493919,101.452988,101.570457,101.438179,101.490738,101.560524,101.489510,101.468925,101.494667,101.533623,101.542130,101.547493,101.609726,101.620171,101.637665,101.615601,101.581306,101.568100,101.488022
101.195206,101.397110,101.084969,101.471375,101.475121,101.464478,101.382675,101.116196,101.529770,101.524658,101.191162,101.342789,101.213585,101.181557,101.088058,101.492844,101.574173,101.604843,101.128769,101.449539,101.458229,101.426895,101.607170,101.151596,101.464462,101.486832,101.540230,101.506004,101.249275,101.433762,101.477791,101.573013,101.472969,101.520424,101.478035,101.478127,101.540932,101.475319,101.496017,101.491791,101.573051,101.463219,101.445511,101.562836,101.511520,101.493591,101.452652,101.570122,101.437843,101.490410,101.560860,101.489174,101.468925,101.494995,101.533066,101.541794,101.547157,101.610062,101.619499,101.637665,101.616287,101.581642,101.568436,101.488022
101.195534,101.396652,101.085793,101.471375,101.475121,101.464813,101.382675,101.116196,101.530098,101.524330,101.191833,101.342789,101.214241,101.181076,101.088394,101.493332,101.575005,101.604172,101.128433,101.448692,101.458878,101.426895,101.607170,101.151253,101.464462,101.487160,101.539894,101.506004,101.249275,101.433426,101.478119,101.572678,101.472633,101.519920,101.478035,101.478798,101.540588,101.474655,101.495537,101.492462,101.573051,101.462051,101.445175,101.562500,101.511185,101.493919,101.452652,101.570457,101.437843,101.490410,101.561188,101.488815,101.469757,101.496002,101.533066,101.542130,101.546036,101.609726,101.620171,101.637665,101.616287,101.581306,101.568100,101.489212
101.195534,101.397659,101.085457,101.470703,101.475784,101.463814,101.383179,101.115860,101.530891,101.523987,101.191833,101.342789,101.214577,101.180420,101.088394,101.492844,101.575340,101.604500,101.128433,101.447693,101.459213,101.427238,101.606842,101.152061,101.464462,101.487160,101.539543,101.506668,101.248947,101.433426,101.478119,101.572342,101.472633,101.519585,101.477959,101.478127,101.540253,101.474106,101.495201,101.492462,101.573380,101.461716,101.445175,101.562149,101.510857,101.493919,101.452316,101.570457,101.438980,101.490067,101.561531,101.488037,101.469757,101.496002,101.533958,101.541794,101.546371,101.609238,101.619499,101.636993,101.616287,101.581642,101.567764,101.488022
101.195534,101.397324,101.085129,101.470360,101.476784,101.463478,101.383514,101.116867,101.530891,101.524658,101.191162,101.341629,101.214241,101.179749,101.088394,101.492516,101.575340,101.604500,101.128433,101.447693,101.458435,101.427238,101.606354,101.151382,101.464005,101.486496,101.539207,101.506668,101.249275,101.433090,101.477455,101.571999,101.471947,101.519585,101.478294,101.477791,101.540253,101.474106,101.495201,101.491791,101.573051,101.462051,101.444839,101.561813,101.510513,101.493591,101.452652,101.570457,101.437843,101.489738,101.561852,101.489510,101.469421,101.495667,101.533066,101.541794,101.546371,101.609886,101.619499,101.636993,101.616623,101.581642,101.567101,101.488541
101.195869,101.398331,101.084793,101.470032,101.476120,101.463814,101.383850,101.117538,101.530441,101.524658,101.191490,101.341629,101.213585,101.180099,101.087494,101.491707,101.575005,101.604843,101.128769,101.447372,101.458435,101.426895,101.606354,101.150558,101.464790,101.486168,101.538528,101.507004,101.249275,101.433937,101.477119,101.572678,101.471947,101.519585,101.479324,101.477455,101.539925,101.474442,101.494865,101.491791,101.573380,101.462387,101.445175,101.562622,101.510513,101.492920,101.453323,101.571617,101.437843,101.490547,101.561852,101.488731,101.469757,101.496002,101.534286,101.542252,101.546036,101.609886,101.618828,101.636322,101.615952,101.580803,101.567101,101.488220
