Timestamp(us),Fx,Fy,Fz,Mx,My,Mz
78353,0.5216881036758423,0.2917901277542114,-0.8326579928398132,0.008680444210767746,0.005987350828945637,0.028702104464173317
78379,0.5043184161186218,0.2858017385005951,-0.8314632177352905,0.008584590628743172,0.006199606694281101,0.02845558151602745
78395,0.5235106945037842,0.2753249406814575,-0.8351068496704102,0.008546861819922924,0.005825265310704708,0.028648098930716515
78410,0.5141713619232178,0.2621869146823883,-0.8360912799835205,0.008399193175137043,0.005979130510240793,0.028702793642878532
78424,0.5018219947814941,0.26371052861213684,-0.8412731885910034,0.008342158980667591,0.006209473125636578,0.02837226167321205
78438,0.5034381151199341,0.26949435472488403,-0.8367144465446472,0.008388958871364594,0.006121872458606958,0.028639676049351692
78452,0.5130759477615356,0.2721337676048279,-0.8366004228591919,0.008503006771206856,0.005951826460659504,0.028707709163427353
78466,0.5121710300445557,0.27200984954833984,-0.8306452631950378,0.008458835072815418,0.005974160507321358,0.028845788910984993
78480,0.5093628764152527,0.28204941749572754,-0.8305510878562927,0.00864147488027811,0.006126009859144688,0.028678053990006447
78493,0.5122917294502258,0.28042057156562805,-0.8272407650947571,0.008648591116070747,0.00608074339106679,0.028592601418495178
78510,0.5125300288200378,0.27122217416763306,-0.8364931344985962,0.008379043079912663,0.006128483451902866,0.02863156609237194
78647,0.5135865807533264,0.276123583316803,-0.8367147445678711,0.008414478041231632,0.006070916540920734,0.028556331992149353
79760,0.5299960970878601,0.2760753929615021,-0.8345456719398499,0.008501107804477215,0.0058937775902450085,0.02839624509215355
80602,0.5268439650535583,0.2798319160938263,-0.8342128992080688,0.008582066744565964,0.005738058127462864,0.028443561866879463
81683,0.5067473649978638,0.2839941680431366,-0.8328467011451721,0.008659048937261105,0.006008689757436514,0.028490399941802025
82604,0.5079808235168457,0.2648424506187439,-0.8307746052742004,0.008212564513087273,0.006145983934402466,0.028527874499559402
83614,0.5088813900947571,0.26575905084609985,-0.8324042558670044,0.008301070891320705,0.006153547205030918,0.028705909848213196
84632,0.5101983547210693,0.2714049518108368,-0.8336617946624756,0.008446946740150452,0.006140559911727905,0.0286188293248415
85647,0.5166054964065552,0.27686548233032227,-0.8301987648010254,0.00838740449398756,0.005920110270380974,0.02853325381875038
86596,0.5186505913734436,0.27278023958206177,-0.8359721302986145,0.008456513285636902,0.005943800788372755,0.028501443564891815
87603,0.5142877697944641,0.2795131802558899,-0.8366605639457703,0.008495171554386616,0.0061308895237743855,0.028519973158836365
88600,0.5247353315353394,0.2686266005039215,-0.8340676426887512,0.008327995426952839,0.00599219836294651,0.028617510572075844
89645,0.5123836994171143,0.27223676443099976,-0.8340205550193787,0.008307463489472866,0.006029454525560141,0.028554145246744156
90598,0.5174184441566467,0.2695537507534027,-0.8357795476913452,0.008411009795963764,0.005868703126907349,0.028596334159374237
91604,0.5129685401916504,0.2779923677444458,-0.8305251002311707,0.008550112135708332,0.0060668038204312325,0.028768327087163925
