MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
863,799,773,819,791,848,809
867,799,773,819,794,848,809
867,799,773,819,791,848,811
865,799,767,819,791,847,810
867,799,773,819,791,847,810
863,799,773,819,791,847,811
866,799,775,819,791,847,810
863,799,773,819,791,847,809
863,799,773,819,791,849,811
865,798,775,819,791,848,809
865,799,773,819,791,848,811
863,799,773,819,791,849,809
865,799,774,819,791,849,809
863,799,773,819,791,847,807
865,799,773,819,791,847,809
865,799,773,819,793,847,807
863,799,773,819,791,847,809
863,797,773,819,791,847,810
865,799,771,819,791,847,807
863,799,773,819,791,847,807
865,799,775,820,793,849,811
867,799,774,820,794,847,811
863,799,775,820,795,850,811
867,799,775,821,795,850,811
867,802,775,823,795,851,811
867,802,777,822,795,850,811
867,801,775,821,795,850,811
867,801,775,821,795,851,811
867,802,775,822,795,851,811
867,803,775,821,795,850,811
867,799,775,822,795,850,811
867,801,775,822,795,850,811
867,801,775,821,795,849,811
865,799,775,821,795,850,811
867,799,775,821,793,850,811
863,799,775,820,794,849,811
867,799,775,821,795,849,811
867,799,775,821,793,849,811
867,799,775,820,793,849,811
867,799,775,819,793,849,810
867,800,775,820,791,849,811
866,799,775,820,791,848,811
863,799,775,819,791,848,811
867,799,775,819,791,847,811
867,799,775,819,794,849,811
867,799,775,821,793,849,811
867,799,775,821,795,849,811
863,799,775,821,794,850,811
867,799,775,820,793,849,811
867,799,775,821,795,850,811
865,799,775,820,793,849,811
867,799,775,821,795,849,811
867,799,775,820,791,850,811
867,799,775,820,793,850,811
867,799,775,820,794,850,811
867,799,775,821,795,849,811
867,801,776,821,794,849,811
863,799,775,821,791,849,809
867,801,775,821,793,850,811
867,799,775,819,795,849,811
867,799,775,819,795,849,811
867,799,774,820,791,849,811
867,799,773,819,793,849,811
867,799,774,819,791,848,811
867,799,773,819,791,847,809
863,799,773,819,791,847,811
863,799,773,819,791,848,809
863,799,773,819,791,847,809
863,799,773,818,791,847,807
863,799,773,819,791,847,807
863,799,771,818,791,847,807
863,797,771,818,791,847,807
863,799,771,817,791,847,807
863,799,771,815,791,846,807
863,797,771,818,791,845,807
863,795,771,817,791,846,807
863,797,773,817,791,846,807
863,799,771,818,791,847,807
863,797,773,819,791,847,809
863,799,773,819,791,847,807
867,799,773,819,791,847,809
863,799,774,819,791,847,807
863,799,773,819,791,847,810
863,799,773,819,791,849,807
863,799,775,819,793,847,809
863,799,774,819,793,850,811
867,799,775,819,793,850,811
865,799,775,820,794,849,810
865,799,775,819,791,849,811
863,799,774,819,793,848,809
866,799,775,819,793,849,811
865,799,773,819,791,847,811
863,799,771,819,791,849,809
863,799,773,817,791,847,807
863,797,773,818,791,847,807
