MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
626,668,654,635,637,675,679
627,668,655,636,638,675,678
627,669,656,637,640,676,680
629,670,656,638,640,676,681
629,669,656,637,640,675,681
629,670,656,637,640,676,681
629,670,657,638,640,676,681
628,669,656,635,639,675,679
626,669,654,635,638,674,679
627,669,655,635,638,674,679
628,670,656,637,640,675,680
629,671,658,615,640,649,682
628,669,656,636,639,676,680
626,668,654,634,637,673,679
628,670,656,636,639,675,680
627,669,655,635,638,674,679
626,668,655,634,638,673,678
627,669,655,635,639,675,680
615,657,642,635,610,674,657
627,668,655,635,638,674,680
627,669,655,636,639,675,679
627,669,655,636,639,676,680
627,669,656,636,639,675,679
628,669,656,636,638,675,680
628,670,656,637,640,676,681
627,669,656,636,639,675,680
627,669,656,636,639,675,680
626,668,654,635,637,675,679
626,668,654,635,637,674,679
627,670,655,636,639,674,680
626,669,654,635,637,675,679
627,669,656,636,639,676,680
627,669,655,636,639,675,680
627,670,655,636,639,676,680
626,668,654,631,638,674,679
627,669,655,635,638,675,680
627,669,655,636,639,674,679
626,669,654,635,637,675,679
626,669,654,635,637,674,679
626,668,654,635,636,674,679
627,669,654,635,637,674,679
627,668,654,635,639,674,679
628,669,656,636,639,675,680
628,669,656,637,640,676,681
628,671,657,638,640,676,681
629,670,656,637,640,676,680
627,669,655,636,638,674,679
627,668,655,636,639,675,680
627,669,656,635,639,674,680
627,669,654,635,638,674,679
627,669,655,636,639,675,680
629,670,657,638,640,676,681
628,670,656,636,639,674,680
626,668,655,636,638,675,679
628,669,656,636,639,675,680
628,669,656,636,639,676,680
628,669,656,637,638,675,680
627,669,655,636,638,676,679
628,669,656,636,640,675,680
627,669,655,634,638,675,679
627,668,655,634,638,674,679
628,669,656,636,640,676,681
628,669,656,635,639,675,679
630,671,658,636,640,675,678
628,670,656,636,640,675,681
627,669,655,635,638,674,679
627,670,656,636,640,676,680
626,667,654,635,637,674,679
627,669,655,635,637,675,679
627,669,655,635,638,675,679
627,669,656,636,639,676,680
626,669,655,635,638,675,679
626,669,655,634,638,675,679
626,669,655,635,638,674,679
619,661,647,630,630,668,672
628,669,656,637,639,676,680
631,674,659,640,642,679,684
627,669,656,636,639,675,680
627,670,655,635,638,674,680
625,668,655,661,637,660,679
626,669,654,635,638,674,678
627,670,655,636,638,675,679
626,669,655,635,638,674,679
627,669,656,636,638,674,680
628,669,656,638,639,676,680
627,669,655,636,638,674,680
607,651,634,636,612,674,656
628,668,655,635,637,674,679
627,669,655,635,639,675,679
628,668,655,635,638,674,679
628,670,656,637,639,675,679
627,668,654,635,638,674,679
627,669,654,635,638,674,679
629,670,656,638,639,675,679
628,670,656,638,639,676,680
629,669,656,637,639,676,680
628,669,656,636,639,675,680
627,668,654,635,638,674,679
627,668,655,635,639,674,679
627,668,655,636,638,674,679
628,669,656,636,638,674,680
627,668,654,636,637,674,679
627,669,655,642,639,680,680
628,668,656,636,639,675,679
628,670,656,636,639,675,679
628,669,656,635,640,675,680
627,669,656,635,638,675,680
627,669,656,636,638,674,680
629,669,656,635,640,675,680
630,672,658,636,642,674,683
627,669,655,635,638,675,680
627,669,656,636,639,676,680
626,668,654,635,637,673,678
626,668,654,635,637,674,678
627,669,655,635,639,675,680
626,668,654,635,637,673,678
627,669,654,635,637,674,679
627,668,654,634,637,673,679
628,669,656,635,638,675,680
627,668,653,634,637,674,679
625,668,653,634,637,674,678
627,668,655,635,637,674,679
626,668,654,634,637,673,678
626,668,655,635,638,675,679
627,669,655,635,638,675,680
627,670,656,636,639,676,680
628,669,656,636,639,675,680
626,669,654,635,638,674,679
628,670,656,637,639,675,680
627,668,654,636,638,674,679
627,670,655,636,638,674,681
627,669,655,635,639,675,681
627,669,655,636,638,674,679
628,668,656,636,639,674,679
626,668,655,634,637,672,678
627,669,655,635,638,675,678
628,668,655,635,638,674,679
627,669,655,635,638,675,680
629,669,655,636,639,675,680
627,669,655,635,638,674,679
627,669,656,636,639,674,679
628,669,656,635,639,675,679
627,667,655,635,638,674,678
626,667,655,635,638,674,678
628,669,656,637,639,675,679
627,669,656,636,639,675,679
628,668,655,636,638,674,679
628,669,655,606,639,643,679
627,668,654,635,637,674,678
628,670,656,635,640,675,681
628,668,656,635,639,674,679
627,669,656,636,639,674,680
628,669,656,636,640,675,681
628,669,656,635,639,674,680
623,666,649,635,619,674,666
627,669,655,634,638,674,679
627,669,655,636,639,675,680
625,668,653,634,638,673,678
626,668,653,634,637,673,678
626,668,655,635,638,675,679
626,669,655,634,637,674,679
626,668,653,634,637,674,679
627,669,654,636,638,674,679
627,669,656,636,639,675,680
626,669,655,635,638,675,678
627,668,653,634,637,674,679
627,669,655,635,638,674,679
626,668,653,634,637,674,678
627,669,654,635,638,674,679
627,669,653,634,638,675,678
628,669,655,635,638,675,680
628,670,656,637,640,676,680
626,668,654,635,638,674,678
628,669,656,637,638,675,680
620,662,648,630,631,667,673
