MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
724,693,677,660,653,705,704
723,693,676,659,652,706,704
724,693,678,660,654,705,705
724,693,678,659,653,705,705
724,693,677,660,653,705,704
723,693,677,658,652,704,704
724,693,677,660,653,705,704
724,694,677,661,653,707,705
725,693,678,661,653,704,705
723,692,676,659,652,705,703
724,694,677,660,653,705,704
723,693,677,659,653,705,704
724,693,678,661,653,705,704
724,693,677,660,653,705,705
724,693,678,660,653,705,705
724,693,677,660,654,705,705
724,693,679,660,654,705,705
724,692,676,660,652,706,704
725,693,678,661,654,705,704
722,691,675,658,651,704,703
724,693,677,660,653,705,704
724,693,676,659,653,704,703
723,691,676,660,652,704,703
723,693,677,659,652,704,704
724,692,677,659,652,704,704
724,693,675,658,652,704,704
723,693,676,659,653,703,703
722,692,676,659,651,706,703
722,691,676,658,652,704,703
721,691,674,658,650,704,702
723,692,677,659,652,704,703
722,691,676,659,651,703,702
722,691,676,659,651,703,703
722,693,675,658,651,703,703
724,693,677,659,653,703,704
723,693,676,658,652,704,704
723,692,677,660,653,705,704
722,691,675,660,651,706,703
725,693,678,659,653,704,704
722,691,675,659,651,704,703
723,693,677,660,653,704,704
723,693,678,659,652,705,704
724,693,677,660,653,705,704
723,692,677,658,652,704,704
725,693,677,660,653,705,704
723,692,677,659,651,704,703
724,692,677,660,652,703,704
723,692,676,660,652,705,704
724,693,677,660,652,705,704
723,691,675,659,651,704,703
724,693,677,659,652,704,704
722,692,677,658,652,704,704
724,692,677,659,653,704,704
723,693,676,659,652,704,704
724,693,677,660,653,703,704
723,692,676,659,653,704,704
724,692,677,659,653,705,704
723,692,676,660,652,705,704
724,692,677,660,652,705,703
722,691,675,659,651,704,703
724,693,676,659,653,704,704
723,692,676,659,652,704,704
723,693,678,659,652,705,704
723,692,676,660,652,704,704
724,692,676,660,652,704,704
723,692,676,659,652,704,704
724,692,678,660,652,705,704
724,693,677,659,652,705,704
724,692,677,660,653,704,705
722,691,675,659,651,704,703
724,693,678,660,653,705,705
723,692,676,659,653,704,704
724,692,677,660,652,705,704
724,693,677,659,653,705,704
724,692,677,660,652,704,704
722,693,676,659,651,704,703
723,692,677,660,653,704,704
722,692,676,659,652,705,703
724,692,677,660,653,705,704
722,691,675,660,651,705,702
724,693,677,659,653,704,704
723,693,676,659,652,704,704
724,693,677,660,654,705,704
724,693,677,660,653,705,703
724,693,677,660,653,704,704
724,693,677,659,653,705,704
724,693,678,659,654,705,704
723,693,676,660,653,706,703
724,693,677,660,654,705,704
723,692,675,659,653,706,703
725,693,678,660,654,706,704
724,693,677,659,653,705,705
725,694,678,660,654,706,705
725,694,678,659,654,705,704
724,693,678,660,654,706,705
725,693,677,660,654,706,705
724,693,678,661,654,705,705
723,693,677,661,653,706,704
724,694,678,661,654,706,704
722,692,676,660,652,705,703
725,693,679,661,654,705,705
723,693,677,659,653,705,704
723,692,678,660,653,704,704
723,693,676,659,652,704,704
725,693,677,659,653,704,704
723,693,676,658,652,704,704
725,693,677,659,653,705,703
723,693,676,659,652,705,703
724,693,677,660,652,704,704
722,691,675,660,651,705,703
724,692,677,660,653,704,704
723,692,677,659,652,703,704
724,693,678,660,653,705,705
723,693,676,660,652,704,705
725,693,677,660,653,706,705
723,692,676,659,652,705,703
724,693,677,659,653,705,705
722,692,676,659,651,705,703
724,692,677,661,653,706,704
722,691,675,659,651,705,702
725,693,677,660,653,705,704
724,693,676,660,652,706,704
725,693,677,682,653,717,705
723,693,677,671,652,684,704
725,693,678,644,654,693,705
723,693,677,644,653,698,705
724,694,678,666,654,711,705
723,693,677,662,652,706,705
723,693,678,662,653,708,705
721,691,675,660,651,704,703
725,694,678,661,653,706,705
723,693,677,660,653,704,705
725,693,678,660,653,705,704
724,693,678,660,654,705,704
724,693,679,660,654,705,705
724,693,677,660,653,705,704
725,693,678,659,654,705,704
723,691,677,660,652,705,703
724,692,678,660,654,704,704
722,691,676,659,652,705,703
724,694,677,659,654,704,704
723,692,677,660,653,704,704
724,692,677,659,653,705,704
723,692,676,659,652,704,704
724,693,677,659,653,704,704
723,692,676,659,652,704,703
724,693,677,658,653,703,704
723,692,676,660,652,704,704
724,692,678,659,653,704,704
722,692,675,659,651,704,702
724,693,677,659,653,703,703
723,693,677,659,652,704,704
723,693,677,659,652,705,704
724,692,676,659,652,704,704
724,693,678,658,653,704,704
723,692,677,658,653,704,705
724,692,677,659,653,705,705
723,693,676,660,652,705,704
724,693,677,659,654,704,704
723,691,675,661,651,705,703
724,694,677,659,654,705,704
723,693,677,660,652,705,704
724,693,678,660,654,705,705
724,693,677,660,653,705,704
725,693,678,660,655,705,706
724,693,677,660,653,705,704
725,694,677,660,654,705,705
724,693,677,662,654,706,705
725,694,679,659,654,705,705
722,691,676,661,651,705,703
724,693,678,660,654,704,705
724,693,677,660,653,705,705
724,693,678,659,653,705,705
723,692,677,660,652,705,705
723,693,677,658,652,704,704
723,692,676,658,652,705,703
723,692,677,659,653,704,704
722,691,676,660,653,705,703
724,693,677,659,653,704,704
722,691,675,659,651,703,703
724,692,677,658,653,704,704
722,692,676,659,653,704,704
724,693,677,658,653,704,704
723,693,676,659,653,704,703
724,693,677,658,653,705,704
724,693,677,659,652,704,704
724,693,677,660,653,705,704
722,692,676,660,651,706,693
724,693,678,659,654,705,705
722,691,675,660,652,705,706
739,732,685,659,654,705,704
766,730,679,660,692,705,753
698,666,653,660,619,705,673
707,677,656,660,629,705,684
729,699,682,660,654,705,707
723,693,673,660,652,705,703
727,696,681,659,658,705,708
724,693,677,660,654,705,704
725,694,678,659,654,704,706
723,691,676,660,651,705,703
725,693,677,659,653,704,704
723,692,677,660,653,705,704
723,692,677,659,653,704,705
724,693,677,659,653,705,704
724,693,677,659,653,704,704
723,693,678,659,653,704,704
725,696,680,659,655,705,706
723,692,676,659,652,705,704
724,694,677,658,653,704,703
722,691,676,656,652,701,702
720,689,674,657,650,702,700
721,690,675,654,650,699,701
718,688,672,657,648,702,699
721,690,674,655,649,701,701
719,688,673,654,648,699,701
719,688,673,653,648,698,700
714,683,668,657,643,703,694
717,687,671,655,647,699,699
719,688,672,655,647,700,700
719,689,673,652,648,698,701
719,689,673,656,649,701,700
721,690,675,655,650,699,702
720,690,673,657,649,702,701
722,691,675,658,651,703,702
723,692,676,659,652,704,704
725,693,678,659,653,703,704
719,687,672,661,648,708,699
723,692,677,660,653,705,704
725,695,678,660,654,706,706
725,693,679,658,653,703,704
723,693,677,660,653,705,704
724,694,678,659,653,703,705
723,693,676,660,653,705,703
724,694,678,659,653,705,705
725,694,678,661,654,707,706
726,694,679,660,654,704,705
720,689,673,663,649,708,701
725,693,677,661,653,706,704
725,695,679,660,655,706,706
725,694,679,660,654,704,705
724,694,678,662,654,708,706
726,694,680,659,655,703,707
725,694,678,664,653,710,705
729,697,682,661,657,706,709
725,694,679,661,654,707,706
725,695,679,660,654,705,706
720,688,673,663,648,709,701
724,692,677,661,653,705,704
725,694,678,662,654,707,705
723,691,677,659,651,704,703
724,693,678,664,653,709,703
726,694,679,657,654,703,705
723,692,677,658,652,704,703
725,694,678,662,654,706,705
727,695,680,662,655,707,707
730,699,684,668,659,714,712
726,695,680,661,656,706,707
727,696,681,664,657,709,708
728,697,682,663,657,709,708
727,696,681,665,657,710,707
729,699,683,664,659,710,709
729,699,683,666,659,710,710
728,698,683,665,659,711,710
729,699,683,665,659,711,710
728,698,681,665,657,709,709
729,698,683,664,658,709,709
727,696,680,663,656,709,708
728,696,681,665,657,709,708
725,695,679,662,655,707,706
725,693,678,661,653,706,705
725,694,678,661,654,706,705
725,694,678,663,653,708,705
729,699,683,659,657,705,709
725,693,677,660,653,706,705
724,693,676,664,652,710,704
725,693,677,659,653,704,704
723,693,676,660,653,705,704
724,693,677,660,653,706,704
723,693,676,659,652,705,703
722,692,676,659,651,705,703
723,693,676,659,652,704,704
723,693,678,661,653,706,704
727,697,681,659,656,704,708
724,692,677,659,652,704,704
723,693,677,664,652,710,704
724,693,677,659,653,704,704
722,692,676,659,652,705,703
723,692,678,659,653,705,704
