Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30,Channel_31,Channel_32,Channel_33,Channel_34,Channel_35,Channel_36,Channel_37,Channel_38,Channel_39,Channel_40,Channel_41,Channel_42,Channel_43,Channel_44,Channel_45,Channel_46,Channel_47,Channel_48,Channel_49,Channel_50,Channel_51,Channel_52,Channel_53,Channel_54,Channel_55,Channel_56,Channel_57,Channel_58,Channel_59,Channel_60,Channel_61,Channel_62,Channel_63
100.676445,100.899826,100.616577,101.110985,101.008896,101.095901,101.035187,100.836655,101.156075,101.071945,100.816971,101.068733,100.809746,100.840874,100.691139,101.094055,101.187378,101.275818,100.848648,101.253128,101.147537,101.131325,101.195457,100.763298,101.101891,101.243492,101.311050,101.179131,100.996056,101.172897,101.086021,101.240700,101.179985,101.280045,101.279190,101.408028,101.380577,101.412834,101.207932,101.223846,101.150253,101.231483,101.386490,101.523094,101.455696,101.342209,101.355614,101.430397,101.022522,101.282806,101.421715,101.362968,101.302963,101.375084,101.223541,101.283524,101.067978,101.279411,101.320404,101.203857,101.412033,101.319061,101.276535,101.218201
100.676773,100.900146,100.615906,101.111313,101.008896,101.095901,101.034843,100.836319,101.155060,101.071945,100.816971,101.069862,100.810875,100.842018,100.691139,101.094566,101.187721,101.275162,100.848984,101.253128,101.147194,101.131195,101.195137,100.763626,101.102699,101.242844,101.311050,101.179794,100.996696,101.173553,101.086021,101.240356,101.179649,101.279373,101.278511,101.408699,101.380913,101.412834,101.208786,101.223518,101.149918,101.231659,101.385994,101.523781,101.455696,101.340706,101.355133,101.428940,101.022522,101.282135,101.421715,101.362526,101.303635,101.374420,101.224045,101.283195,101.067863,101.279411,101.321541,101.203857,101.412033,101.319061,101.275864,101.219383
100.676773,100.900833,100.616249,101.111649,101.008896,101.095566,101.034843,100.836655,101.154388,101.071274,100.816467,101.070534,100.810745,100.841019,100.691139,101.094566,101.188385,101.275162,100.848320,101.252792,101.147194,101.131538,101.196281,100.763298,101.101570,101.242180,101.310211,101.178978,100.997025,101.174362,101.086021,101.239685,101.179314,101.279373,101.277824,101.409035,101.381584,101.412834,101.208450,101.223633,101.149582,101.231979,101.385994,101.523445,101.455696,101.341873,101.356277,101.429291,101.022522,101.281326,101.421715,101.363655,101.304092,101.374420,101.224045,101.283066,101.068192,101.279076,101.321541,101.204193,101.412376,101.319061,101.275864,101.219711
100.676773,100.900482,100.616249,101.111992,101.010361,101.095238,101.034843,100.836319,101.154724,101.071609,100.817299,101.069397,100.810745,100.841019,100.690804,101.094246,101.188728,101.275940,100.847984,101.252792,101.147194,101.131195,101.196945,100.763298,101.102364,101.242180,101.310211,101.178978,100.997345,101.174042,101.085548,101.240700,101.179314,101.280045,101.277824,101.408539,101.381584,101.413162,101.207260,101.223633,101.149918,101.231308,101.384987,101.524117,101.455696,101.342545,101.355614,101.428940,101.023315,101.281326,101.422386,101.362869,101.302643,101.373749,101.224693,101.283066,101.068192,101.279411,101.321877,101.204376,101.413498,101.319061,101.275864,101.219383
100.677109,100.901482,100.616577,101.111313,101.010361,101.095566,101.034180,100.835991,101.155739,101.071274,100.817299,101.070869,100.811081,100.840683,100.691139,101.093910,101.188049,101.275497,100.847824,101.252464,101.146530,101.131874,101.196609,100.762947,101.100906,101.242180,101.309532,101.179314,100.996696,101.174042,101.085548,101.241508,101.179985,101.279373,101.277481,101.408195,101.381241,101.413162,101.207596,101.222847,101.149918,101.230972,101.384987,101.523094,101.456032,101.342545,101.355942,101.427818,101.023315,101.280983,101.422714,101.362869,101.302643,101.373413,101.224380,101.283401,101.067863,101.278244,101.321541,101.204376,101.413841,101.318718,101.276329,101.219383
100.677444,100.901146,100.616089,101.110184,101.009232,101.095566,101.034843,100.835991,101.156075,101.073082,100.817299,101.071205,100.811081,100.840019,100.690475,101.093391,101.188049,101.275818,100.848648,101.252464,101.145424,101.132217,101.195953,100.763298,101.101570,101.242180,101.310211,101.179314,100.996696,101.174362,101.085205,101.241508,101.180321,101.278694,101.277481,101.408539,101.380577,101.412689,101.207932,101.222519,101.150085,101.231659,101.385323,101.523094,101.456032,101.341713,101.356277,101.428604,101.022972,101.281326,101.422386,101.363220,101.302643,101.374077,101.224380,101.283401,101.068314,101.278244,101.321541,101.204025,101.413162,101.318718,101.276329,101.219711
100.676613,100.901146,100.616432,101.110985,101.009888,101.095901,101.033516,100.836830,101.155739,101.073082,100.816467,101.071205,100.811081,100.838875,100.690804,101.093719,101.187721,101.275818,100.848648,101.252464,101.145859,101.131538,101.195290,100.763626,101.102364,101.242508,101.310547,101.180138,100.996376,101.174042,101.085693,101.241180,101.180321,101.278694,101.277481,101.409035,101.380577,101.412689,101.207932,101.222183,101.150085,101.231308,101.386154,101.522758,101.456032,101.342545,101.356949,101.427597,101.023659,101.281326,101.422066,101.363922,101.303093,101.373276,101.223862,101.283401,101.067520,101.278595,101.321205,101.204704,101.412819,101.319931,101.276001,101.219711
100.676613,100.900833,100.616432,101.110985,101.010544,101.096252,101.034515,100.836151,101.155396,101.072281,100.816635,101.070404,100.811745,100.838875,100.691315,101.094894,101.188049,101.276154,100.847160,101.252464,101.145683,101.132217,101.194473,100.763626,101.102036,101.242020,101.310211,101.178978,100.996696,101.173714,101.085358,101.240700,101.179985,101.279373,101.277481,101.408195,101.380913,101.413696,101.208267,101.222847,101.149918,101.231659,101.386154,101.522758,101.455368,101.341377,101.356613,101.429031,101.023659,101.281326,101.420578,101.363564,101.302292,101.373276,101.223862,101.284195,101.067184,101.278923,101.320862,101.202522,101.412476,101.320602,101.276001,101.220047
100.677780,100.901146,100.616905,101.110641,101.009888,101.095901,101.034515,100.836487,101.155060,101.071945,100.816299,101.070068,100.811745,100.839539,100.690475,101.095230,101.188873,101.275497,100.848320,101.251915,101.146011,101.132217,101.194473,100.763626,101.102036,101.242180,101.310211,101.178978,100.996376,101.173225,101.085693,101.240700,101.181137,101.277534,101.277824,101.407860,101.379776,101.413353,101.208611,101.222847,101.150757,101.232819,101.386833,101.522758,101.454041,101.342392,101.355942,101.429382,101.024330,101.281662,101.420242,101.363564,101.301643,101.373611,101.224533,101.284859,101.066177,101.278923,101.320534,101.202522,101.412476,101.319931,101.275330,101.220383
100.676933,100.901833,100.616577,101.110313,101.010216,101.096909,101.034843,100.836151,101.154724,101.070114,100.814804,101.070404,100.811081,100.839218,100.690475,101.095230,101.188553,101.275497,100.848320,101.252464,101.145195,101.132217,101.195793,100.763969,101.101234,101.242180,101.310211,101.179314,100.995720,101.172897,101.086021,101.241180,101.181137,101.277870,101.277130,101.407539,101.379898,101.414169,101.208611,101.223305,101.149582,101.232147,101.385994,101.523445,101.453041,101.343552,101.356277,101.429031,101.024330,101.281998,101.420242,101.363220,101.301971,101.374283,101.225533,101.284737,101.066856,101.278412,101.320198,101.202858,101.412819,101.318718,101.274994,101.219711
