Channel_0,Channel_1,Channel_2,Channel_3
100.255051,67.908615,102.202377,101.343590
100.255051,67.908615,102.202377,101.343590
100.170135,67.908615,102.202377,101.343590
100.170135,67.908615,102.202377,101.342491
100.263832,67.907982,102.175888,101.342491
100.263832,67.907982,102.175888,101.342491
100.069901,67.907982,102.175888,101.342491
100.069901,67.907982,102.175888,101.342323
100.069901,67.907982,102.175888,101.342323
100.144157,67.907349,102.149963,101.342323
100.144157,67.907349,102.149963,101.342323
100.048409,67.907349,102.149963,101.342323
100.048409,67.907349,102.149963,101.341423
100.048409,67.907349,102.123222,101.341423
100.112312,67.906113,102.123222,101.341423
100.112312,67.906113,102.123222,101.341423
100.076340,67.906113,102.123222,101.341423
100.076340,67.906113,102.123222,101.341263
100.076340,67.906113,102.097351,101.341263
100.153923,67.905777,102.097351,101.341263
100.181290,67.905777,102.097351,101.341263
100.105606,67.905777,102.097351,101.340492
100.105606,67.905777,102.097351,101.340492
100.101624,67.905777,102.071762,101.340492
100.096878,67.904213,102.071762,101.340492
99.951797,67.904213,102.071762,101.340492
99.951797,67.904213,102.071762,101.339813
99.951797,67.904213,102.071762,101.339813
99.826782,67.904213,102.046112,101.339813
99.825813,67.903099,102.046112,101.339813
99.954369,67.903099,102.046112,101.339813
99.954369,67.903099,102.046112,101.338753
99.954369,67.903099,102.021400,101.338753
99.807884,67.903099,102.021400,101.338753
99.807884,67.902641,102.021400,101.338753
99.986969,67.902641,102.021400,101.337677
99.986969,67.902641,102.021400,101.337677
99.986969,67.902641,101.996567,101.337677
100.070168,67.902641,101.996567,101.337677
100.045952,67.902176,101.996567,101.337677
100.045952,67.902176,101.996567,101.337173
100.045952,67.902176,101.996567,101.337173
100.095291,67.902176,101.972488,101.337173
100.095291,67.902176,101.972488,101.337173
100.036430,67.901566,101.972488,101.337173
100.036430,67.901566,101.972488,101.336411
100.036430,67.901566,101.972488,101.336411
100.105728,67.901566,101.949051,101.336411
100.105728,67.901566,101.949051,101.336411
100.019356,67.901100,101.949051,101.336243
100.019356,67.901100,101.949051,101.336243
100.019356,67.901100,101.949051,101.336243
100.106117,67.901100,101.926308,101.336243
100.106117,67.901100,101.926308,101.336243
100.067825,67.900658,101.926308,101.335510
100.067825,67.900658,101.926308,101.335510
100.157372,67.900658,101.903412,101.335510
100.157372,67.900658,101.903412,101.335510
99.908432,67.900658,101.903412,101.335510
99.908432,67.900192,101.903412,101.334747
99.908432,67.900192,101.903412,101.334747
99.692108,67.900192,101.881546,101.334747
99.692108,67.900192,101.881546,101.334747
99.872452,67.900192,101.881546,101.334747
99.872452,67.899582,101.881546,101.334412
99.872452,67.899582,101.881546,101.334412
99.740746,67.899582,101.860039,101.334412
99.740746,67.899582,101.860039,101.334412
99.857635,67.899582,101.860039,101.332840
99.857635,67.898949,101.860039,101.332840
99.857635,67.898949,101.860039,101.332840
100.284073,67.898949,101.838821,101.332840
99.920120,67.898949,101.838821,101.332840
99.920120,67.898949,101.838821,101.331398
99.920120,67.897995,101.838821,101.331398
100.582245,67.897995,101.818115,101.331398
100.582245,67.897995,101.818115,101.331398
99.847710,67.897995,101.818115,101.331398
99.847710,67.897995,101.818115,101.329819
99.847710,67.896912,101.818115,101.329819
99.739952,67.896912,101.798447,101.329819
99.739952,67.896912,101.798447,101.329819
99.842224,67.896912,101.798447,101.328720
99.842224,67.896912,101.798447,101.328720
99.842224,67.896317,101.798447,101.328720
100.318779,67.896317,101.779739,101.328720
100.318779,67.896317,101.779739,101.328720
99.862717,67.896317,101.779739,101.327225
99.862717,67.896317,101.779739,101.327225
100.291962,67.895401,101.779739,101.327225
100.291962,67.895401,101.761360,101.327225
99.946365,67.895401,101.761360,101.327225
99.946365,67.895401,101.761360,101.326164
99.946365,67.895401,101.761360,101.326164
100.052132,67.894943,101.761360,101.326164
100.052132,67.894943,101.742989,101.326164
99.979271,67.894943,101.742989,101.324554
99.979271,67.894943,101.742989,101.324554
99.979271,67.894943,101.742989,101.324554
100.038612,67.894165,101.723999,101.324554
100.038612,67.894165,101.723999,101.324554
99.939743,67.894165,101.723999,101.323990
99.939743,67.894165,101.723999,101.323990
99.939743,67.894165,101.723999,101.323990
100.583694,67.893364,101.704720,101.323990
100.583694,67.893364,101.704720,101.323990
99.909790,67.893364,101.704720,101.322586
