Channel_0,Channel_1,Channel_2,Channel_3
100.604935,101.093979,101.010063,101.062515
100.604935,101.092972,101.008934,101.062180
100.605247,101.092636,101.008621,101.062515
100.605247,101.091805,101.009262,101.062851
100.605247,101.091805,101.009262,101.062180
100.605247,101.091805,101.009567,101.062515
100.604935,101.092636,101.009262,101.062180
100.604607,101.092972,101.009262,101.061844
100.604935,101.091469,101.009567,101.062515
100.604607,101.091972,101.009888,101.062180
100.604935,101.091301,101.010208,101.062180
100.604935,101.091637,101.009888,101.062515
100.605110,101.092812,101.009262,101.062180
100.605431,101.093147,101.008934,101.062180
100.605110,101.093483,101.009262,101.061501
100.604462,101.093147,101.008934,101.061165
100.605110,101.093147,101.008934,101.061165
100.605110,101.092636,101.008934,101.061165
100.605110,101.093147,101.008934,101.060829
100.604462,101.093483,101.008621,101.061165
100.604790,101.092812,101.009743,101.061165
100.604141,101.092812,101.009743,101.061501
100.604462,101.092812,101.010063,101.061165
100.605934,101.092140,101.009743,101.060829
100.605293,101.091141,101.009102,101.060150
100.604637,101.091972,101.009102,101.060486
100.603989,101.092308,101.010544,101.060486
100.603676,101.091972,101.010544,101.061974
100.604324,101.091972,101.010544,101.061165
100.605469,101.091972,101.010231,101.062660
100.605141,101.091637,101.011032,101.062996
100.604820,101.092476,101.010712,101.062660
100.603851,101.091812,101.010078,101.062660
100.603203,101.091812,101.010399,101.063805
100.603203,101.091141,101.010712,101.063469
100.603348,101.091812,101.011032,101.061440
100.603348,101.091141,101.011833,101.061234
100.604172,101.091812,101.011208,101.060555
100.604492,101.091141,101.011208,101.060013
100.603851,101.091812,101.011208,101.060287
100.603523,101.091972,101.011520,101.060898
100.604355,101.091972,101.011520,101.064896
100.604355,101.091972,101.011208,101.072235
100.604355,101.091652,101.011520,101.087662
100.604027,101.091652,101.011520,101.110725
100.604355,101.091972,101.011208,101.144890
100.603706,101.092484,101.011208,101.187485
100.603882,101.092148,101.011208,101.234848
100.604202,101.091812,101.011688,101.282318
100.604202,101.092354,101.011368,101.326584
100.604202,101.092018,101.011368,101.326584
100.603233,101.092522,101.011047,101.368820
100.602448,101.092186,101.012199,101.410866
100.601791,101.091515,101.010727,101.449631
100.601479,101.092026,101.011246,101.483505
100.601654,101.092354,101.011246,101.513290
100.600830,101.092026,101.010605,101.543747
100.601974,101.092522,101.010300,101.581467
100.601974,101.092857,101.010300,101.625076
100.602310,101.091850,101.009979,101.669273
100.601334,101.091187,101.011414,101.712563
100.601654,101.091187,101.010780,101.749420
100.601334,101.092026,101.010139,101.779213
100.600693,101.092361,101.009506,101.801041
100.600037,101.092361,101.009186,101.819763
100.600357,101.092026,101.009995,101.835793
100.599716,101.092522,101.009995,101.853729
100.599861,101.092857,101.009354,101.877403
100.600510,101.092857,101.009842,101.904610
100.599533,101.092194,101.010155,101.931679
100.599533,101.092697,101.010475,101.958557
100.600037,101.092697,101.010155,101.982956
100.600868,101.092697,101.009201,102.000397
100.601189,101.093575,101.008881,102.013618
100.601364,101.093239,101.008881,102.024086
100.600540,101.093071,101.009056,102.034073
100.600868,101.092735,101.008736,102.045761
100.602654,101.092400,101.008934,102.062202
100.602013,101.092575,101.010056,102.082741
100.601685,101.092575,101.009567,102.102783
100.602013,101.091568,101.009888,102.120773
100.601868,101.092064,101.009888,102.137108
100.601036,101.091400,101.010376,102.153793
100.601547,101.091400,101.010056,102.175186
100.600899,101.091400,101.009422,102.196640
100.601723,101.091568,101.008781,102.218948
100.601723,101.092407,101.008469,102.236832
100.601395,101.093071,101.008469,102.248810
100.601082,101.092743,101.009262,102.260239
100.601578,101.092743,101.009262,102.274918
100.601578,101.093582,101.008629,102.293022
100.601578,101.093918,101.008629,102.309937
100.601257,101.094254,101.009438,102.321594
100.600929,101.094414,101.010071,102.329681
100.600784,101.094078,101.010391,102.339699
100.600464,101.093079,101.009438,102.354958
100.600464,101.092072,101.009758,102.371902
100.600784,101.093613,101.009758,102.386986
100.600784,101.092606,101.011192,102.399727
100.600464,101.092606,101.011192,102.408157
100.600464,101.093445,101.011520,102.410561
100.600464,101.093109,101.011833,102.410057
100.601608,101.092781,101.011192,102.408493
100.601936,101.093277,101.011520,102.405807
100.601936,101.092606,101.011192,102.402771
100.601288,101.092606,101.011192,102.399704
