Channel_0,Channel_1,Channel_2,Channel_3
100.067856,100.671783,100.820724,100.610878
100.068169,100.671783,100.821350,100.611893
100.068497,100.671783,100.822624,100.613579
100.068169,100.671448,100.822945,100.614937
100.067032,100.671112,100.824051,100.615944
100.067680,100.670448,100.825333,100.615944
100.069138,100.670776,100.826279,100.615479
100.069138,100.671112,100.826599,100.615273
100.068649,100.670776,100.826920,100.614456
100.069298,100.670776,100.826920,100.614456
100.069298,100.670448,100.826279,100.614807
100.068474,100.670776,100.824051,100.614807
100.068146,100.671608,100.822945,100.613785
100.067825,100.671272,100.820557,100.651123
100.068321,100.670448,100.816093,101.058006
100.068001,100.670776,100.812584,101.889404
100.068001,100.670448,100.810043,102.967224
100.067680,100.670776,100.808762,104.238464
100.066208,100.670776,100.807816,105.603577
100.066856,100.671448,100.807816,107.010536
100.067497,100.671448,100.807175,108.550743
100.067184,100.672455,100.806854,110.219704
100.068321,100.672119,100.806221,111.922531
100.067497,100.672119,100.805580,113.634865
100.067497,100.672455,100.804947,115.376831
100.067825,100.673126,100.804779,117.180603
100.068474,100.673126,100.806374,118.931107
100.068802,100.672791,100.806374,120.563766
100.068802,100.672455,100.806374,121.964943
100.068802,100.673965,100.805412,123.062820
100.069115,100.673965,100.805099,123.836166
100.069443,100.673965,100.804459,124.394943
100.069618,100.673126,100.804611,124.829697
100.069115,100.673462,100.804611,125.106613
100.070267,100.672791,100.804131,125.182678
100.068802,100.672455,100.803818,125.057533
100.068474,100.671783,100.804611,124.813736
100.068474,100.671783,100.803658,124.459167
100.068474,100.671448,100.802536,123.932457
100.068802,100.671448,100.803818,123.120300
100.068626,100.672119,100.803818,121.895187
100.068947,100.671783,100.803490,120.221840
100.069443,100.671448,100.802849,118.240883
100.069115,100.672119,100.802536,116.135155
100.068802,100.671783,100.802536,114.045921
100.068474,100.671448,100.803177,112.129654
100.068474,100.671448,100.803490,110.443871
100.068146,100.672287,100.802849,108.991173
100.068474,100.672623,100.802849,107.760757
100.068474,100.672623,100.802849,106.764465
100.068474,100.672287,100.802536,105.993309
100.069115,100.672623,100.803177,105.402725
100.069763,100.671783,100.804131,104.956520
100.070419,100.671448,100.803932,104.630592
100.071060,100.671783,100.804245,104.388161
100.070732,100.672623,100.804245,104.206345
100.070419,100.672623,100.802979,104.056374
100.070236,100.672287,100.802338,103.923508
100.068947,100.672623,100.802025,103.811790
100.068947,100.671272,100.799942,103.716331
100.068947,100.671272,100.798996,103.623924
100.068947,100.672440,100.798515,103.524940
100.070091,100.671951,100.795486,103.416283
100.070091,100.673294,100.793892,103.307640
100.069763,100.673965,100.792618,103.228294
100.069275,100.674294,100.791664,103.196487
100.068947,100.674629,100.791985,103.206177
100.068626,100.674629,100.791985,103.334778
100.069443,100.675461,100.791183,103.798843
100.068947,100.675461,100.793259,104.914078
100.069275,100.675125,100.794998,106.621948
100.069275,100.673965,100.798027,108.628662
100.069916,100.672623,100.798996,110.901962
100.069916,100.672623,100.799301,113.514603
100.070564,100.671951,100.799942,116.252197
100.070564,100.671951,100.800583,118.881882
100.070564,100.671272,100.801224,121.362022
100.069778,100.671608,100.802170,123.789047
100.069778,100.672775,100.801056,125.949623
100.070419,100.672287,100.800735,127.624428
100.070419,100.671608,100.800735,128.792816
100.070755,100.671608,100.801056,129.483551
100.070755,100.671272,100.801682,129.704147
100.071533,100.671272,100.802322,129.335358
100.072182,100.671272,100.802322,129.335358
100.071716,100.671608,100.802010,128.352097
100.071716,100.670944,100.801376,126.906151
100.072372,100.670609,100.802322,125.075584
100.072830,100.670944,100.802963,122.987534
100.073471,100.670609,100.802963,120.728683
100.073471,100.671448,100.802963,118.357666
100.073471,100.671112,100.801056,115.970825
100.073151,100.670944,100.800095,113.717026
100.072830,100.672775,100.798508,111.667931
100.071716,100.673454,100.799141,109.837852
100.071716,100.673454,100.800095,108.234695
100.073151,100.673454,100.800735,106.771690
100.073151,100.673119,100.802010,105.454063
100.072037,100.671951,100.803604,104.349976
100.071716,100.669601,100.806473,103.469864
100.072685,100.667259,100.810608,102.785423
100.074303,100.666245,100.815704,102.263893
100.074768,100.664238,100.820793,101.868431
100.075089,100.662560,100.823029,101.568405
100.074127,100.662727,100.824142,101.342476
100.073334,100.661392,100.824471,101.169655
100.073334,100.659714,100.827339,101.042496
100.073013,100.662895,100.823196,100.951874
100.072685,100.663734,100.820168,100.882553
100.072372,100.663063,100.819214,100.829941
100.073471,100.665077,100.815071,100.788811
100.072830,100.666748,100.813789,100.758179
100.072685,100.666412,100.813477,100.734512
100.072685,100.667084,100.810928,100.717056
100.073013,100.666580,100.811417,100.703201
100.073013,100.667259,100.810776,100.693832
100.073334,100.667259,100.810776,100.685379
100.073013,100.667931,100.810455,100.678268
100.072372,100.667931,100.810623,100.674004
100.072372,100.668594,100.810303,100.669952
100.072037,100.668259,100.810936,100.668388
100.071716,100.667595,100.810936,100.666023
100.072037,100.667595,100.810623,100.664474
100.072037,100.667595,100.810623,100.662102
100.072037,100.667595,100.811256,100.660751
100.072372,100.667595,100.811577,100.660881
100.071869,100.668755,100.810822,100.672043
100.071869,100.669426,100.807953,101.674301
100.072189,100.668594,100.805084,103.050705
100.072517,100.669090,100.802849,104.724380
100.073166,100.668755,100.801582,106.643837
100.073486,100.668755,100.800308,108.718529
100.073807,100.669426,100.799995,110.865440
100.074448,100.669762,100.799667,113.092941
100.074783,100.669426,100.799667,115.363388
100.074783,100.669426,100.799026,117.496414
100.074448,100.669426,100.798721,119.443542
100.074135,100.669426,100.798401,121.121559
100.074448,100.669090,100.798721,122.514343
100.074448,100.669426,100.798721,123.661316
100.074783,100.669426,100.798080,124.697632
100.075104,100.669426,100.798401,125.656212
100.075104,100.669090,100.798080,126.461220
100.075607,100.669090,100.798080,127.101974
100.075607,100.668755,100.798080,127.603615
100.075920,100.668434,100.798401,128.024109
100.075920,100.668930,100.799515,128.393463
100.075104,100.668930,100.798401,128.767624
100.074783,100.668930,100.798080,129.091995
100.075424,100.669930,100.798401,129.291412
100.076065,100.669594,100.800156,129.404083
100.075424,100.668434,100.800476,129.496307
100.075424,100.669594,100.799995,129.515091
100.075424,100.669594,100.799995,129.446426
100.075752,100.669594,100.799355,129.295151
100.075752,100.669594,100.799355,129.108017
100.075424,100.669594,100.799667,128.921249
100.075752,100.669258,100.800308,128.728363
100.075752,100.669258,100.799995,128.517365
100.074783,100.669258,100.799667,128.305710
100.075104,100.670090,100.799835,128.148346
100.075752,100.670090,100.798721,128.044922
100.076065,100.670090,100.799515,127.938431
100.076065,100.670090,100.800156,127.826477
100.076065,100.670425,100.800476,127.723755
100.076721,100.670761,100.800156,127.658218
100.076401,100.670761,100.799835,127.624428
100.076065,100.671432,100.800156,127.601219
100.075752,100.672104,100.799835,127.597816
100.075424,100.671432,100.799835,127.623062
100.074600,100.671097,100.800156,127.710434
100.074928,100.671768,100.800476,127.789268
100.075249,100.672104,100.800476,127.838768
100.076065,100.671097,100.800789,127.873917
100.076065,100.671097,100.799995,127.841148
100.075752,100.670265,100.800476,127.710098
100.076065,100.669258,100.800789,127.532974
100.076401,100.669258,100.801109,127.386917
100.077370,100.668594,100.801109,127.283852
100.076218,100.668930,100.801430,127.157608
100.075897,100.668930,100.801430,127.026917
100.075577,100.668930,100.800789,126.922165
100.075249,100.669754,100.800789,126.851883
100.075897,100.668594,100.801109,126.794212
100.076218,100.668755,100.801430,126.743042
100.076546,100.669960,100.801918,126.703125
100.076866,100.669754,100.801918,126.688797
100.077187,100.669754,100.801918,126.691872
100.076866,100.670975,100.801918,126.697670
100.076668,100.669426,100.801430,126.675491
100.076668,100.669754,100.802231,126.640358
100.077515,100.669426,100.802544,126.607605
100.077187,100.669090,100.803185,126.564613
100.077187,100.668419,100.803818,126.497414
100.076866,100.669624,100.803513,126.419289
100.076866,100.669960,100.802063,126.331955
