Channel_0,Channel_1,Channel_2,Channel_3
66.040977,101.181351,101.064140,101.205788
66.040977,101.181686,101.063820,101.205002
66.040977,101.181190,101.062698,101.205109
66.040977,101.181526,101.062386,101.205109
66.040977,101.181358,101.063011,101.205788
66.040977,101.181198,101.062386,101.206131
66.040977,101.181198,101.062210,101.206467
66.040977,101.179985,101.061691,101.206802
66.040977,101.180656,101.062660,101.206467
66.040977,101.180656,101.062973,101.205788
66.040977,101.179825,101.062805,101.204666
66.040977,101.180832,101.063126,101.204330
66.040977,101.181000,101.063126,101.204330
66.040977,101.180664,101.062637,101.204773
66.040977,101.180130,101.062637,101.205109
66.040977,101.180130,101.062950,101.205109
66.040977,101.180298,101.062157,101.204773
66.040977,101.180634,101.062157,101.205109
66.040977,101.181137,101.061661,101.204330
66.040977,101.181648,101.061661,101.204666
66.040977,101.183823,101.062302,101.204666
66.040977,101.184006,101.062302,101.205444
66.040977,101.184174,101.062622,101.205788
66.040977,101.183502,101.062943,101.206131
66.040977,101.183167,101.063095,101.206131
66.040977,101.182289,101.063095,101.206802
66.040977,101.182968,101.062256,101.206360
66.040977,101.182793,101.062897,101.206024
66.040977,101.183128,101.062897,101.206024
66.040977,101.183472,101.062408,101.206360
66.040977,101.183807,101.062408,101.206024
66.040977,101.182968,101.063690,101.206024
66.040977,101.182968,101.064316,101.206024
66.040977,101.183479,101.063202,101.206024
66.040977,101.183815,101.062561,101.206696
66.040977,101.183983,101.063515,101.205887
66.040977,101.184654,101.063202,101.206558
66.040977,101.183983,101.062393,101.206558
66.040977,101.183487,101.061440,101.206223
66.040977,101.184494,101.062080,101.206696
66.040977,101.183990,101.062714,101.206024
66.040977,101.184662,101.062714,101.206360
66.040977,101.183792,101.063034,101.206024
66.040977,101.183624,101.063675,101.206024
66.040977,101.183960,101.062546,101.206024
66.040977,101.183456,101.062546,101.205681
66.040977,101.183792,101.062225,101.206360
66.040977,101.183632,101.062027,101.206696
66.040977,101.184647,101.062981,101.206696
66.040977,101.184128,101.063309,101.206360
66.040977,101.185135,101.062500,101.206696
66.040977,101.184647,101.062180,101.206696
66.040977,101.185318,101.062981,101.206360
66.040977,101.184814,101.062981,101.205681
66.040977,101.185150,101.061859,101.205681
66.040977,101.184814,101.062180,101.204193
66.040977,101.184311,101.061691,101.205002
66.040977,101.184647,101.062019,101.205345
66.040977,101.185318,101.062332,101.205681
66.040977,101.185120,101.062019,101.206360
66.040977,101.186127,101.062164,101.206360
66.040977,101.186798,101.063126,101.206360
66.040977,101.186630,101.063446,101.207039
66.040977,101.186295,101.063446,101.207039
66.040977,101.185799,101.063446,101.207039
66.040977,101.185631,101.063927,101.207039
66.040977,101.185631,101.063446,101.207039
66.040977,101.184128,101.063446,101.207039
66.040977,101.184128,101.064079,101.207039
66.040977,101.183952,101.064079,101.206558
66.040977,101.184624,101.063919,101.207710
66.040977,101.185295,101.064545,101.207375
66.040977,101.184799,101.064232,101.207375
66.040977,101.185135,101.064377,101.206894
66.040977,101.184265,101.065018,101.206894
66.040977,101.184601,101.063866,101.208389
66.040977,101.183426,101.064186,101.207230
66.040977,101.182922,101.064011,101.206558
66.040977,101.182922,101.063385,101.206223
66.040977,101.182922,101.063385,101.206223
66.040977,101.182755,101.062889,101.206558
66.040977,101.181923,101.062889,101.206558
66.040977,101.182594,101.063210,101.206894
66.040977,101.183601,101.062889,101.206894
66.040977,101.183098,101.062729,101.206764
66.040977,101.183434,101.063210,101.207108
66.040977,101.183434,101.063210,101.207108
66.040977,101.182930,101.062729,101.207916
66.040977,101.183601,101.062729,101.208252
66.040977,101.183434,101.062408,101.208252
66.040977,101.183769,101.062241,101.207581
66.040977,101.184105,101.062561,101.207230
66.040977,101.183914,101.062881,101.207230
66.040977,101.184250,101.063515,101.206558
66.040977,101.183403,101.063835,101.206558
66.040977,101.183739,101.063637,101.207581
66.040977,101.182907,101.063637,101.206764
66.040977,101.183578,101.063637,101.207108
66.040977,101.183914,101.062836,101.206764
66.040977,101.183418,101.063148,101.206764
66.040977,101.184425,101.062836,101.206421
66.040977,101.183250,101.063148,101.206421
66.040977,101.183250,101.062668,101.207108
66.040977,101.183083,101.062981,101.207108
66.040977,101.183426,101.062668,101.206764
66.040977,101.183762,101.062981,101.206421
66.040977,101.184769,101.062981,101.206085
66.040977,101.184593,101.062981,101.205612
66.040977,101.184067,101.063309,101.206085
66.040977,101.183228,101.062500,101.206085
66.040977,101.183899,101.062820,101.205276
66.040977,101.182724,101.063133,101.206085
66.040977,101.183395,101.062820,101.205750
66.040977,101.183731,101.062820,101.205406
66.040977,101.182556,101.062820,101.205750
66.040977,101.183228,101.062820,101.205070
66.040977,101.183563,101.062019,101.205070
66.040977,101.183060,101.061691,101.205406
66.040977,101.182564,101.061691,101.205406
66.040977,101.182228,101.061691,101.205070
66.040977,101.182564,101.062332,101.205750
66.040977,101.182388,101.062019,101.205750
66.040977,101.183060,101.061378,101.205750
66.040977,101.182564,101.061691,101.206421
66.040977,101.182564,101.061211,101.206085
66.040977,101.182899,101.061523,101.206558
66.040977,101.182899,101.061523,101.205887
66.040977,101.182365,101.062332,101.204391
66.040977,101.183372,101.061844,101.204391
66.040977,101.184044,101.061844,101.204735
66.040977,101.183205,101.061966,101.204735
66.040977,101.182701,101.062279,101.204735
66.040977,101.182030,101.062607,101.203926
66.040977,101.181534,101.062279,101.203926
66.040977,101.181870,101.062607,101.204597
66.040977,101.181702,101.062607,101.204941
66.040977,101.182373,101.062920,101.205276
66.040977,101.182373,101.062439,101.205612
66.040977,101.181534,101.062119,101.205612
66.040977,101.181534,101.062119,101.205612
66.040977,101.181870,101.061951,101.205948
66.040977,101.181870,101.062584,101.205948
66.040977,101.181030,101.062584,101.205132
66.040977,101.181366,101.062584,101.205475
66.040977,101.181839,101.063225,101.205475
66.040977,101.182175,101.063057,101.205475
66.040977,101.182175,101.063057,101.205132
66.040977,101.182846,101.063370,101.205132
66.040977,101.182007,101.063370,101.205475
66.040977,101.181671,101.063698,101.205811
66.040977,101.181839,101.063698,101.205338
66.040977,101.182175,101.062889,101.206146
66.040977,101.181343,101.063210,101.205681
66.040977,101.181679,101.062889,101.206146
66.040977,101.182350,101.062889,101.206146
66.040977,101.182693,101.063530,101.206146
66.040977,101.182190,101.063675,101.206146
66.040977,101.182526,101.063675,101.205002
66.040977,101.182190,101.064003,101.205002
66.040977,101.181007,101.063675,101.205338
66.040977,101.181343,101.062523,101.205002
66.040977,101.181175,101.062202,101.205002
