Channel_0,Channel_1,Channel_2,Channel_3
100.814110,101.134811,101.030045,101.032364
100.813789,101.134811,101.030365,101.032028
100.813004,101.134140,101.029724,101.031212
100.813004,101.134140,101.030045,101.030869
100.812355,101.134140,101.029724,101.031883
100.813141,101.133804,101.029724,101.032700
100.813469,101.133469,101.029724,101.032364
100.813789,101.132805,101.029411,101.032219
100.814110,101.133141,101.029099,101.031883
100.814438,101.133469,101.028770,101.031883
100.815407,101.133804,101.028770,101.031548
100.815727,101.134140,101.029411,101.032364
100.816055,101.134140,101.029724,101.032028
100.815727,101.134140,101.030045,101.032364
100.815407,101.134476,101.030045,101.033035
100.815727,101.135147,101.030365,101.032700
100.814285,101.135147,101.030045,101.032364
100.814285,101.135818,101.030998,101.032028
100.814613,101.136490,101.030998,101.031883
100.814613,101.137329,101.030045,101.032028
100.815262,101.136826,101.029411,101.032364
100.815575,101.137497,101.028610,101.032364
100.815575,101.138832,101.028610,101.032700
100.815575,101.138496,101.028290,101.031548
100.815262,101.138496,101.027969,101.031548
100.814110,101.138168,101.028610,101.033035
100.813461,101.137833,101.028610,101.033035
100.813782,101.137833,101.028923,101.031883
100.813782,101.137497,101.029724,101.032219
100.814110,101.137497,101.029411,101.031548
100.814430,101.136826,101.029411,101.031883
100.814110,101.136490,101.029724,101.031883
100.815262,101.136154,101.029724,101.031883
100.815262,101.135315,101.029724,101.032562
100.815262,101.134300,101.028923,101.032219
100.815262,101.134300,101.029243,101.032898
100.815262,101.133965,101.029243,101.033577
100.815575,101.133644,101.029564,101.033577
100.815575,101.134300,101.029884,101.033913
100.815262,101.134300,101.030197,101.033913
100.814110,101.134979,101.029884,101.033577
100.814758,101.134979,101.029884,101.033913
100.813141,101.135818,101.030197,101.033913
100.813461,101.135818,101.029564,101.033913
100.813782,101.134644,101.029243,101.033913
100.814758,101.134644,101.029564,101.033913
100.814430,101.134644,101.029564,101.033913
100.813461,101.135818,101.029243,101.033432
100.814110,101.134979,101.029564,101.034927
100.814110,101.134300,101.029884,101.033432
100.814934,101.133965,101.029884,101.033096
100.814613,101.133644,101.029564,101.033096
100.814934,101.133644,101.029884,101.032761
100.815262,101.133644,101.030518,101.032761
100.815575,101.133308,101.030518,101.032761
100.814758,101.133644,101.030838,101.033913
100.814758,101.133644,101.029388,101.033432
100.814758,101.133965,101.029709,101.033432
100.815399,101.134644,101.030518,101.033096
100.815399,101.134300,101.030029,101.033432
100.815079,101.133644,101.030029,101.032288
100.815399,101.133308,101.030029,101.032623
100.815399,101.133644,101.030029,101.032623
100.815079,101.133644,101.030029,101.032623
100.815079,101.133644,101.029709,101.032623
100.815079,101.133965,101.029388,101.032288
100.814758,101.133965,101.029388,101.031609
100.815079,101.134300,101.029388,101.031952
100.815079,101.134300,101.029709,101.031952
100.814758,101.133644,101.030029,101.032623
100.815903,101.133965,101.031158,101.032288
100.816231,101.134300,101.030350,101.032288
100.816231,101.134644,101.030350,101.031143
100.815262,101.134300,101.030350,101.032288
100.815727,101.134644,101.029709,101.032623
100.814758,101.134644,101.029190,101.032959
100.815407,101.134979,101.030350,101.032959
100.815262,101.135315,101.030029,101.031815
100.815262,101.135651,101.030663,101.032494
100.815262,101.136490,101.031303,101.033646
100.815262,101.136154,101.030472,101.033310
100.815575,101.135818,101.031624,101.033981
100.816231,101.136154,101.031937,101.033646
100.815903,101.135818,101.031937,101.033646
100.815903,101.135483,101.031624,101.033981
100.816376,101.135483,101.031624,101.033981
100.816376,101.135483,101.030472,101.033981
100.815575,101.135483,101.030785,101.033981
100.814934,101.135818,101.031937,101.033981
100.814613,101.135818,101.031105,101.033646
100.814613,101.135483,101.030785,101.033310
100.815407,101.134644,101.030472,101.033310
100.814438,101.135315,101.030472,101.032829
100.814110,101.135818,101.030472,101.032829
100.814110,101.135818,101.031624,101.033508
100.813316,101.136154,101.031303,101.033844
100.812355,101.136490,101.031303,101.034180
100.812355,101.135315,101.030983,101.034988
100.812027,101.136490,101.030983,101.034317
100.812820,101.136490,101.031303,101.034317
100.813141,101.136826,101.030472,101.033165
100.813789,101.135818,101.029831,101.033165
100.814438,101.135483,101.030151,101.033165
100.814758,101.135818,101.029663,101.032829
100.815086,101.135483,101.029663,101.032829
100.814758,101.135818,101.029663,101.033165
100.814438,101.135483,101.030151,101.033165
100.813789,101.135483,101.029831,101.033508
100.813469,101.135147,101.030151,101.033844
100.812820,101.135147,101.030151,101.033035
100.813644,101.136154,101.030472,101.033035
100.814293,101.136490,101.030472,101.033035
100.813789,101.136490,101.031105,101.033371
100.813469,101.136490,101.030785,101.033707
100.813789,101.136490,101.029984,101.033707
100.814621,101.136154,101.029984,101.034042
100.814621,101.135147,101.030296,101.034378
100.814934,101.134476,101.030296,101.034859
100.814934,101.134811,101.030472,101.034515
100.814934,101.134476,101.029984,101.034859
100.815262,101.133644,101.029984,101.034515
100.815590,101.134811,101.030151,101.034180
100.816238,101.133804,101.028709,101.033508
100.815903,101.134811,101.028214,101.032700
100.815903,101.135651,101.028214,101.033371
100.815590,101.135986,101.028854,101.033035
100.815903,101.135651,101.029984,101.033371
100.815262,101.135651,101.029984,101.033371
100.815262,101.135315,101.029022,101.033707
100.814934,101.135651,101.029343,101.032700
100.814934,101.136322,101.028214,101.032700
100.814934,101.135651,101.028214,101.032700
100.813972,101.136322,101.029343,101.032700
100.813644,101.135986,101.028709,101.032349
100.813644,101.135986,101.028397,101.033035
100.813644,101.136322,101.028877,101.032555
100.814476,101.135651,101.029190,101.032219
100.814148,101.136154,101.028397,101.032700
100.813828,101.135315,101.029190,101.032349
100.814476,101.136154,101.029388,101.032013
100.815117,101.136490,101.029076,101.032013
100.815117,101.136490,101.029076,101.032349
100.815765,101.136154,101.029884,101.032700
100.815765,101.136490,101.029564,101.032700
100.816093,101.137329,101.029884,101.033508
100.815445,101.137329,101.029884,101.032829
100.815765,101.137863,101.030685,101.033165
100.815445,101.137192,101.030685,101.032494
100.815117,101.136864,101.030365,101.036545
100.814796,101.136192,101.031174,101.073196
100.815628,101.136368,101.031174,101.123024
100.815308,101.135696,101.030853,101.196854
100.815308,101.135361,101.031174,101.288223
100.814980,101.134689,101.031334,101.384514
100.815308,101.133682,101.031662,101.486130
100.814980,101.135193,101.031334,101.589294
100.816124,101.135193,101.030701,101.691246
100.815804,101.135193,101.030701,101.791298
100.816635,101.135529,101.031860,101.887779
100.815987,101.134857,101.031540,101.982567
100.815338,101.134186,101.031540,102.072075
100.815987,101.133850,101.031540,102.156326
100.815338,101.134689,101.031715,102.236526
100.815842,101.134018,101.031715,102.311996
100.815521,101.134201,101.032028,102.378120
100.815201,101.134537,101.032516,102.437477
100.814545,101.134201,101.032196,102.483643
100.814545,101.133865,101.031876,102.519676
100.814735,101.133186,101.031876,102.552467
100.814407,101.134689,101.030922,102.582741
100.814407,101.135368,101.029968,102.616356
100.813759,101.136543,101.029327,102.648819
100.814262,101.136215,101.029007,102.680275
100.813614,101.135208,101.029808,102.711586
100.813614,101.135544,101.029495,102.744751
100.813950,101.135544,101.029984,102.778442
100.814766,101.135208,101.029984,102.814041
100.814445,101.135208,101.031113,102.851479
100.814445,101.134872,101.031418,102.891518
100.814445,101.134537,101.031418,102.933243
100.814445,101.134537,101.032257,102.971901
100.814949,101.135376,101.031303,103.005333
100.814621,101.136246,101.031303,103.036072
100.814949,101.136581,101.030983,103.062241
100.814621,101.135910,101.030983,103.086731
100.814308,101.135910,101.030670,103.112900
100.813980,101.135239,101.030029,103.139992
100.814774,101.136078,101.030197,103.169456
100.814453,101.136414,101.029564,103.200256
100.814125,101.136749,101.028931,103.232277
100.813805,101.137085,101.029411,103.261940
100.814453,101.137253,101.029411,103.286644
100.814957,101.137253,101.029900,103.306435
100.815269,101.137924,101.029579,103.324425
100.814957,101.137589,101.029579,103.343201
100.814629,101.138092,101.029579,103.361496
100.814308,101.137085,101.029579,103.378807
100.814629,101.137085,101.029266,103.394386
100.814308,101.137421,101.029747,103.408646
100.814812,101.138931,101.029434,103.419846
100.815132,101.138596,101.029747,103.426781
100.815964,101.137589,101.030266,103.431717
100.815460,101.137253,101.030266,103.436478
100.815460,101.136917,101.030586,103.443298
100.815781,101.136581,101.030907,103.449074
100.815964,101.135582,101.031075,103.450989
100.815964,101.136421,101.030441,103.447586
100.815964,101.136086,101.030441,103.435562
100.815315,101.135422,101.030113,103.418068
100.814674,101.134079,101.030602,103.398903
100.814346,101.134415,101.030281,103.378197
100.814346,101.134415,101.030281,103.360046
100.814346,101.135918,101.029968,103.341599
100.814026,101.135582,101.031082,103.323952
100.814529,101.135918,101.031410,103.307579
100.814201,101.135918,101.030777,103.307579
100.814850,101.135918,101.030449,103.293213
100.814529,101.137100,101.030937,103.279175
100.814850,101.136429,101.030304,103.265457
100.814201,101.136971,101.031418,103.252098
100.814529,101.136635,101.031113,103.236412
100.815170,101.135292,101.030472,103.218155
